%Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
Abbey Road,539081,183352,51.531951985733,0.0037377856069111,"3",E15 3NB
Abbey Wood,547297,179002,51.49078408041,0.12028637127604,"4",SE2 9RH
Acton,520296,181196,51.516886963398,-0.26767554257793,"3",W3 0BP
Acton Central,520613,180299,51.508757812012,-0.26341579231596,"2",W3 6BD
Acton Town,519457,179639,51.503071476856,-0.2802882961706,"3",W3 8HN
Albany Park,547903,172902,51.435815590189,0.12645902197803,"5",DA5 3HP
Aldgate,533629,181246,51.514342387502,-0.075612503707184,"1",EC3N 1AH
Aldgate East,533809,181333,51.515081631079,-0.072987053548915,"1",E1 7PT
Alexandra Palace,530300,190498,51.598262836895,-0.1201345367387,"3",N22 7ST
All Saints,538012,180933,51.510476925464,-0.012610477634,"2",E14 0EH
Alperton,518025,183849,51.541209310632,-0.2995013414547,"4",HA0 4LL
Amersham,496454,198181,51.674129392062,-0.60649933056891,"9",HP6 5AZ
Anerley,534656,169942,51.412516725364,-0.065122723194277,"4",SE20 8AG
Angel,531497,183263,51.532968028132,-0.10556703413728,"1",N1 8XB
Angel Road,535204,192202,51.612420325055,-0.048718479404686,"4",N18 3AY
Archway,529356,186827,51.565490550156,-0.13510715160572,"2,3",N19 5RQ
Arnos Grove,529271,192471,51.616230157665,-0.13425577761924,"4",N11 1AN
Arsenal,531429,186107,51.558541388156,-0.10548551071377,"2",N5 1LP
Baker Street,527965,182078,51.523129639184,-0.15688978273689,"1",NW1 5LA
Balham,528482,173195,51.443182580239,-0.15267077683302,"3",SW12 9SG
Bank,532704,181111,51.513347072699,-0.088985715325045,"1",EC3V 3LA
Banstead,524590,160426,51.329293148535,-0.21311798536959,"6",SM7 1RB
Barbican,532079,181859,51.520215295016,-0.097707167852645,"1",EC1A 4JA
Barking,544405,184343,51.539521102884,0.0808460268962,"4",IG11 8TU
Barkingside,544788,189510,51.585850602534,0.088491071171579,"4",IG6 1NB
Barnehurst,550206,176193,51.464780266606,0.16096241569889,"6",DA7 6HQ
Barnes,522209,175705,51.467127801887,-0.24201866806989,"3",SW13 0LW
Barnes Bridge,521478,176255,51.472228083132,-0.25234822148068,"3",SW13 0NR
Barons Court,524133,178322,51.490228707652,-0.21341574380466,"2",W14 9DP
Battersea Park,528703,176999,51.477318340776,-0.14810936441775,"2",SW8 4NB
Bayswater,525845,180799,51.512111310915,-0.18788716574986,"1",W2 4QH
Beckenham Hill,538002,171379,51.424626059454,-0.016481381251057,"4",SE6 3NU
Beckenham Junction,537403,169840,51.410941644002,-0.025687362710869,"4",BR3 1HY
Beckton,543145,181509,51.514376621471,0.061539705886513,"3",E6 5NT
Beckton Park,542697,180887,51.508900786453,0.054836346093653,"3",E6 5NE
Becontree,547598,184442,51.539585393148,0.12689470862039,"5",RM9 4TP
Bellingham,537702,172399,51.433864895434,-0.020397386684838,"3",SE6 3BT
Belmont,525500,162098,51.344119948481,-0.19947489773285,"5",SM2 6BH
Belsize Park,527399,185075,51.550190897304,-0.1639600723677,"2",NW3 2AL
Belvedere,549498,179197,51.491958983909,0.15204819376851,"5",DA17 6JW
Bermondsey,534461,179445,51.497960787629,-0.064315686265478,"2",SE16 4RX
